"No","En","Az","Tr","Ge","Ru","Ar"
"623","projective linear group","projektif doğrusal grup","proyektiv xətti qrup","პროექციული წრფივი ჯგუფი","проективная линейная группа","նախագծային գծային խումբ"
"624","error function","hata fonksiyonu","xətta fumksiyası","შეცდომის ფუნქცია","функция ошибки","սխալի ֆունկցիա"
"625","geometric series","geometrik seri","həndəsi sıra","გეომეტრიული მწკრივი","геометрический ряд","երկրաչափական շարք"
"626","common ratio","ortak oran r","ortaq nisbət r","გეომეტრიული პროგრესიის მნიშვნელი","знаменатель геомежтрической прогрессии","ընդհանուր հարաբերակցություն"
"627","closed-form formula","yakınsaklık kanıtı",,"ჩაკეტილი ფორმულა","формула в закрытой форме","փակ բանաձև"
"628","range of a function","işlevin değer kümesi",,"ფუნქციის რანგი","ранг  функции","ֆունկցիայի տիրույթ"
"630","directed set","yönlü küme","yönəldilmiş çoxluq","მიმართული სიმრავლე","направленное множество","ուղղորդված բազմություն"
"631","subsequence","	altdizi","son ardıcılıq","ქვემიმდევრობა","подпоследовательность","հաջորդականություն"
"632","separable space","ayrılabilir uzay","ayrılabilən fəza","სეპარაბელური სივრცე","сепарабельное пространство","բաժանելի տարածություն"
"633","subspace topology","	alt uzay ilingesi","altfəza topologiyası","ქვესივრცის ტოპოლოგია","топология подпространства","ենթատարածության տոպոլոգիա"
"634","connected space","bağlantılı uzay","bağlı fəza","ბმული სივრცე","связанное пространство","միացված տարածք"
"635","connected components","bağlantılı bileşen","əlaqəli komponentlər","ბმულიკმპონენტები","связанные компоненты","միացված բաղադրիչներ"
"636","clopen set, (closed-open set)","kapalı-açık küme","qapalı-açıq çoxluq","ღია-ჩაკეტილი სიმრავლე","замкнутое множество, замкнуто-открытое множество","փակ-բաց բազմություն"
"638","sufficiently large","yeterince büyük","kifayət qədər böyük","საკმარისად დიდი","достаточно большой","բավականաչափ մեծ"
"639","linear subspace","	doğrusal altuzay","xətti altfəza","წრფივი ქვესივრცე","линейное подпространство","գծային ենթատարածություն"
"640","differentiable function","diferansiyel fonksiyon","diferensial funksiya","დიფერენცირებადი ფუნქცია","дифференцируемая функция","տարբերվող ֆունկցիա"
"641","continuity","	devamlılık","davamlılıq","უწყვეტობა","непрерывность","Շարունակականություն"
"642","intermediate value theorem","ara değer teoremi","orta dəyər teoreması","თეორემა თეორემა შუალედური მნიშვნელობის შესახებ","теорема о промежуточном значении","միջանկյալ արժեքի թեորեմ"
"644","algebraic topology","cebirsel topoloji","cəbri topologiya","ალგებრული ტოპოლოგია","алгебраическая топология","հանրահաշվական տոպոլոգիա"
"645","cohomology group","kohomoloji grup","kohomologiya qrupu","კოჰომოლოგიის ჯგუფი","группа когомологий","կոհոմոլոգիայի խումբ"
"646","homotopy groups","homotopi grup","homotopiya qrupları","ჰომოტოპიის ჯგუფი","гомотопические группы","հոմոտոպիայի խմբեր"
"647","continuous function","sürekli fonksiyon","funksiyanın sonsuzluğu","უწყვეტი ფუნქცია","непрерывная функция","անվերջ ֆունկցիա"
"648","neighbourhood","komşuluk","qonşuluq","მიდამო","окрестность","Տարածք"
"649","manifold","çok katlı","çoxobrazlı","მრავალნაირობა","многообразие","բազմազան"
"650","compact space","tıkızlık","yığcam fəza","კომპაქტური სივრცე","компактное пространство","կոմպակտ տարածություն"
"651","planar graph","düzlemsel grafik","planar qrafik","ბრტყელი გრაფი","планарный граф","հարթ գրաֆիկ"
"652","butterfly graph","kelebek grafiği","kəpənək qrafiki","პეპელას გრაფი","график бабочки","թիթեռի գրաֆիկ"
"653","vertice","köşe","zirvə","წვერო","вершина","գագաթ"
"654","girth","	çevre","ətraf","გარშემოწერილობა","обхват","շրջապատ"
"655","complete graph","tam grafik","tam qrafik","სრული გრაფი","полный график","ամբողջական գրաֆիկ"
"657","convex polytope","dışbükey politop","qabarıq politop","ამოზნექილი მრავალკუთხედი","выпуклый многогранник","Ուռուցիկ բազմանկյուն"
"658","De Morgan's laws","De Morgan yasası","De Morqan qanunları","მორგანის კანონები","Законы де Моргана","Դե Մորգանի օրենքներ"
"659","image","görüntü kümesi","təsvir","სახე","образ","պատկեր"
"660","fundamental group","temel grup","əsas qrup","ფუნდამენტალური ჯგუფი","фундаментальная группа","հիմնարար խումբ"
"661","star","yıldız","ulduz","ვარსკვლავი","звезда","աստղ"
"662","closure","kapanış","bağlanma, qapanma","ჩაკეტვა","замыкание","շրջափակ"
"663","link","bağlantı","əlaqə","ბმა","ссылка","հղում"
"664","simplicial complex","basit kompleks","sadələşdirilmiş kompleks","სიმპლიციალური კომპლექსი","симплициальный комплекс","պարզ կոմպլեքս"
"665","presentation of a group","grup tanımı","qrupun təqdimatı","ჯგუფის წარმოდგენა","Ззадание группы","խմբի ներկայացում"
"666","unit square","birim kare","vahid kvadrat","ერთეულოვანი კვადრატი","единичный квадрат","միավոր քառակուսի"
"667","interval","aralık","aralıq, interval","ინტერვალი","интервал","հեռավորություն"
"668","Trefoil knot","Trefoil (yonca) düğünü","Trefoil düyünü","სამფურცლიანი კვანძი","Узел трилистник","Երեք էջանի հանգույց"
"669","stretch","parça","parça","განფენილობა","протяжение","ձգում"
"670","map",,"inikas","ასახვა","отображение","ցուցադրում"
"671","necessary and sufficient condition","gerekli ve yeterli koşul","zəruri və kafi şərt","აუცილებელია და საკმარისი","необходимое и достаточное условие","անհրաժեշտ և բավարար պայման"
"672","incomplete equation","tamamlanmamış denklem","natamam tənlik","არასრული განტოლება","неполное уравнение","անավարտ հավասարում"
"673","bounded","sınırlandırılmış","məhdud","შემოსაზღვრული","ограниченный","սահմանափակված"
"674","column","sütun","sütun","სვეტი","column","սյունակ"
"675","crossing","kesişme","kəsişmə","გადამკვეთი","пересечение","հատում"
"676","mixed multiplication","karışık çarpma","qarışıq hasil","შერეული ნამრავლი","смешанное произведение","խառը բազմապատկում"
"677","coplanarity","komplanar","komplanar","კომპლანარული","копланарность","համակողմանիություն"
"678","collinearity","kollinear vektör","kollinear vektorlar","კოლინეარული","коллинеарность","համակցականություն"
"680","tip","uç","zirvə","წვერო","вершина","գագաթ"
"681","transposition","yerdeğiştirme","yerdəyişmə","გადანაცვლება","перестановка","Տեղաշարժ"
"682","insert","eklemek","yerləşdirmək","ჩასმა","вставить","տեղադրել"
"683","round","yuvarlak","yumru","მრგვალი","круглый","կլոր"
"684","hundreds","yüzlük","yüzlük","ასეულები","сотни","հարյուրավոր"
"685","common","genel","ümumi","საერთო","общий","ընդհանուր"
"686","unit","birler basamağı","təklik","ერთეული","единица","միավոր"
"687","faces","yüzü","üzləri","წახნაგები","лица","դեմքեր"
"688","trajectory","gezinge","trayektoriya","ტრაექტორია, მიმართულება","траектория","հետագիծ"
"689","thousands","binler","minlik","ათასეულები","тысячи","հազարավոր"
"690","mathematical validation","matematiksel tasdik","riyazi sübut","მათემატიკური დამტკიცება","математическая проверка","մաթեմատիկական ապացույց"
"691","part","kısım","hissə","ნაწილი","часть","մաս"
"692","movement","hareket","hərəkət","მოძრაობა","движение","շարժում"
"693","arrangement","aranjman","aranjeman","წყობა","расположение
Part of speech	Translation	Reverse translations	Frequency
help_outline
Noun
расположение","կարգավորում"
"694","association","	birleşme","birləşmə","ასოციაცია","ассоциация","զուգորդում
զուգորդում"
"695","cartesian product","	dekart çarpımı","dekart hasili","დეკარტული ნამრავლი","декартово произведение","Դեկարտյան արտադրյալ"
"696","factor group","faktör grubu","faktor qrubu","ფაქტორჯგუფი","факторгруппа","ֆակտորխումբ"
"697","linear algebra","lineer cebir","xətti cəbr","წრფივი ალგებრა","линейная алгебра","գծային հանրահաշիվ"
"698","rounding","yuvarlama","yuvarlaqlaşdırma","დამრგვალება","округление","կլորացում"
"699","linear programming","doğrusal programlama","xətti proqramlaşdırma","წრფივი დაპროგრამება","линейное программирование","գծային ծրագրավորում"
"700","approximation","tahmini","təqribi","მიახლოებითი","приближение","մոտեցում"
"701","Vieta's formulas","Vieta formülleri","Viyet düsturlar","ვიეტას თეორემა","Формулы Виета","Վիետայի բանաձեւ"
"702","Roman numerals","Roma rakamları","Rum rəqəmləri","რომაული ციფრები","римские цифры","Հռոմեական թվեր"
"703","gravity","kütleçekim","cazibə qüvvəsi","გრავიტაცია","сила тяжести","ձգողականություն"
"704","pentagram","pentagram","pentaqramma","ვარსკვლავი, პენტაგრამა","пентаграмма","աստղ, Պենտագրամա"
"705","Ptolemy's theorem","Batlamyus teoremi","Ptolmey teoremi","პტოლემეს თეორემა","Неравенство Птолемея","Պտոլմեսի թեորեմ"
"706","convex function","dışbükey fonksiyon","qabarıq funksiya","ამოზნექილი ფუნქცია","выпуклая функция","ուռուցիկ ֆունկցիա"
"707","parabolic equation","parabolik denklem","parabolik tənlik","პარაბოლური განტოლება","параболическое уравнение","պարաբոլիկ հավասարում"
"708","Laplace's equation","Laplace denklemi","Laplas tənliyi","ლაპლასის განტოლება","Уравнение Лапласа","Լապլասի հավասարում"
"709","logarithmic function","logaritma fonksiyon","loqarifm funksiya","ლოგარითმული ფუნქცია","логарифмическая функция","լոգարիթմական ֆունկցիա"
"710","lemma","lemma","lemma","ლემა","лемма","լեմմա"
"711","further mathematics","daha ileri matematik","ali riyaziyyat","უმაღლესი მათემატიკა","высшая математика","բարձրագույն մաթեմատիկա"
"712","octahedron","sekiz yüzlü","oktaedr","ოქტაედრი","октаэдр","ութանիստ"
"713","decimal fraction","onluk kesr","onluq kəsr","ათობითი წილადი","десятичная дробь","տասնորդական կոտորակ"
"714","decimal system","ondalık sistem","onluq say sistemi","ათობითი სისტემა","десятичная система","տասնորդական համակարգ"
"715","mathematical model","matematiksel model","riyazi modelləşdirmə","მათემატიკური მოდელირება","математическая модель","մաթեմատիկական մոդել"
"716","De Moivre's formula","De Moivre formülü","Muavr düsturu","მუავრის ფორმულა","Формула де Муавра","De Moivre-ի բանաձեւը"
"717","comparison","mukayese","müqayisə","შედარება","сравнение","համեմատություն"
"718","Markov chain","Markov zinciri","Markov zənciri","მარკოვის ჯაჭვი","Цепь Маркова","Մարկովի շղթա"
"719","Markov processes","Markov prosesi","Markov prosesi","მარკოვის პროცესი","Марковские процессы","Մարկովյան գործընթացներ"
"720","meter","metre","metr","მეტრი","метр","մետր"
"721","kilometer","kilometre","kilometr","კილომეტრი","километр","կիլոմետր"
"722","approval","onay, tasvip","isbat","დამტკიცება","одобрение","հաստատում, ապացույց"
"723","binary system","ikili sayı sistemi","ikili say sistemi","ორობითი სისტემა","бинарная система","երկուական համակարգ"
"724","harmonic analysis","harmonik analiz","harmonik analiz","ჰარმონიული ანალიზი","гармонический анализ","հարմոնիկ վերլուծություն"
"725","degree","	derece","dərəcə","გრადუსი","степень","աստիճան"
"726","differential equations","türevsel denklemler","diferensial tənliklər","დიფერენციალური განტოლება","дифференциальные уравнения","դիֆերենցիալ հավասարումներ"
"727","Euler angles","Euler açıları","Eyler bucaqları","ეილერის კუთხები","Углы Эйлера","դիֆերենցիալ հավասարումներ"
"728","periodic function","	periyodik fonksiyon","periyodik funksiya","პერიოდული ფუნქცია","периодическая функция","պարբերական ֆունկցիա"
"729","periodic fraction","periyodik kesir","dövri kəsr","პერიოდული წილადი","периодическая дробь","պարբերական կոտորակ"
"730","algebraic geometry","cebirsel geometri","cəbri həndəsə","ალგებრული გეომეტრია","algebraic geometry","հանրահաշվական երկրաչափություն"
"731","algebraic expression","cebirsel ifade","cəbri ifadə","ალგებრული გამოსახულება","алгебраическое выражение","հանրահաշվական արտահայտություն"
"732","timetable","çizelge","cədvəl","ცხრილი","расписание","Աղյուսակ"
"733","multiple","çok yönlü","çoxüzlü","მრავლობითი","множественный","բազմակի, բազմապատիկ"
"734","binomial distribution","binom dağılımı","binomial paylanma","ბინომიალური განაწილება","биномиальный коэффициент","երկանդամ բաշխում"
"736","analytical geometry","analitik həndəsə","analitik həndəsə","ანალიზური გეომეტრია","аналитическая геометрия","վերլուծական երկրաչափություն"
"737","bessel function","bessel fonksiyonu","bessel funksiyaları","ბესელის ფუნქცია","функция Бесселя","բեսելի ֆունկցիա"
"738","center of mass","kütle merkezi","kütlə mərkəzi","მასის ცენტრი","центр массы","զանգվածի կենտրոն"
"739","analytic function","analitik fonksiyon","analitik funksiya","ანალიზიური ფუნქცია","аналитическая функция","վերլուծական ֆունկցիա"
"740","line segment","doğru parçası","düz xətt parçası","მონაკვეთი","отрезок","Բաժին"
"741","	non-abelian group","	abelyen olmayan grup","abeli olmayan qrupu","არააბელურიჯგუფი","неабелева группа","ոչ աբելյան խումբ"
"742","infimum metric","ebas metriği","infimum, sonsuz metrik","ინფიმუმალური მეტრიკა","минимальная метрика","Ինֆիմմատիկ չափումներ"
"743","hausdorff space","hausdorff uzayı","hausdorff fəzası","ჰაუსდორფის სივრცე","Хаусдорфовое пространство","հաուսդորֆյան տարածություն"
"744","differential topology","diferensiyel topoloji","diferensial topologiya","დიფერენციალური ტოპოლოგია","дифференциальная топология","դիֆերենցիալ տոպոլոգիա"
"745","low-dimensional topology","düşük boyutlu topoloji","aşağı ölçülü topologiya","დაბალგანზომილებიანი ტოპოლოგია","низкоразмерная топология","ցածրաչափ տոպոլոգիա"
"746","hyperbolic geometry","hiperbolik geometri","hiperbolik həndəsə","ჰიპერბოლური ტოპოლოგია","гиперболическая геометрия","հիպերբոլիկ երկրաչափություն"
"747","dynamic system","dinamik sistem","dinamik sistem","დინამიური სისტემა","динамическая система","դինամիկ համակարգ"
"748","uniform spaces","düzgün uzay","birşəkilli fəza","უნიფორმული სივრცე","равномерные пространства","միասնական տարածքներ"
"749","complex analysis","karmaşık analiz","kompleks analiz","კომპლექსური ანალიზი","комплексный анализ","կոմպլեքսային վերլուծություն"
"750","Jacobian matrix","Jacobi matrisi","Jacob matrisi","იაკობიანი","Матрица Якоби","Յակոբյան մատրիցա"
"751","square matrix","kare matris","kvadrat matris","კვადრატული მატრიცი","квадратная матрица","քառակուսի մատրիցա"
"752","loop (topology)","ilmik",,"მარყუჟი","петля (топология)","հանգույց"
"753","unit square","birim çember","vahid çevrə","ერთეულოვანი კვადრატი","единичный квадрат","միավոր քառակուսի"
"754","quotient space","bölüm uzayı","hissə fəzası","ფაქტორსივრცე","факторпространство","գործակից տարածություն"
"755","adjunction space  (attaching space)",,,"მიერთებული სივრცე","примыкающее пространство (присоединительное пространство)","հարակից տարածք"
"756","disjoint union",,,"არათანამკვეთი გაერთიანება","непересекающееся объединение","տարանջատված միություն"
"757","involution","içeri kıvrılma, üst alma",,"ინვოლუცია","инволюция","ինվոլյուցիա"
"758","fixed point","sabit nokta","sabit nöqtə","ფიქსირებული წერტილი","фиксированная точка","ֆիքսված կետ"
"759","parametrization","parametrik hale getirme","parametrləşdirmə","პარამეტრიზაცია","параметризация","պարամետրիզացիա"
"760","real line","reel doğru","həqiqi xətt","ნამდვილი წრფე","действительная линия","իրական գիծ"
"761","algebraic varieties","cebirsel değişimler","cəbri növlər","ალგებრული მრავალნაირობა","алгебраические многообразия","հանրահաշվական տարատեսակներ"
"762","homogeneous polynomial","türdeş çokterimli, homojen polinom","homojen polinom","ერთგვაროვანი პოლინომი","однородный многочлен","միատարր բազմանդամ"
